"@timestamp","@version",context,"data_stream.dataset",type,response,request,path,metrics,method,message,"logger_name",level,latency,host,"extra_data","data_stream.type","data_stream.namespace","event.original","_id","_index","_score"
"Aug 20, 2024 @ 01:02:10.114",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":3.040350588703728,""x2"":-0.17853859823990859,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 3.040350588703728, ""x2"": -0.17853859823990859, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.114Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0005052089691162109, ""request"": ""{\""x1\"": 3.040350588703728, \""x2\"": -0.17853859823990859, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":3.040350588703728,\""x2\"":-0.17853859823990859,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","t0CXbpEBFxHMiGpb1i-n",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.112",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":0.441128040050889,""x2"":0.25688646038094465,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 0.441128040050889, ""x2"": 0.25688646038094465, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,0,"DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.112Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0004889965057373047, ""request"": ""{\""x1\"": 0.441128040050889, \""x2\"": 0.25688646038094465, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":0.441128040050889,\""x2\"":0.25688646038094465,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","30CXbpEBFxHMiGpb1i_I",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.111",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":0.7790564061994097,""x2"":0.5864928850139306,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 0.7790564061994097, ""x2"": 0.5864928850139306, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,0,"DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.111Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.00046443939208984375, ""request"": ""{\""x1\"": 0.7790564061994097, \""x2\"": 0.5864928850139306, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":0.7790564061994097,\""x2\"":0.5864928850139306,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","F0CXbpEBFxHMiGpb1i-V",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.109",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":0.2782031455435985,""x2"":0.5272221796244436,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 0.2782031455435985, ""x2"": 0.5272221796244436, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.109Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0005066394805908203, ""request"": ""{\""x1\"": 0.2782031455435985, \""x2\"": 0.5272221796244436, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":0.2782031455435985,\""x2\"":0.5272221796244436,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","80CXbpEBFxHMiGpb1i_M",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.107",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":0.7399602972945711,""x2"":0.5518123950097624,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 0.7399602972945711, ""x2"": 0.5518123950097624, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.107Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0006010532379150391, ""request"": ""{\""x1\"": 0.7399602972945711, \""x2\"": 0.5518123950097624, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":0.7399602972945711,\""x2\"":0.5518123950097624,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","K0CXbpEBFxHMiGpb1i-W",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.105",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":0.42459692685865813,""x2"":0.5332683243367939,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 0.42459692685865813, ""x2"": 0.5332683243367939, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,0,"DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.105Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0004749298095703125, ""request"": ""{\""x1\"": 0.42459692685865813, \""x2\"": 0.5332683243367939, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":0.42459692685865813,\""x2\"":0.5332683243367939,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","o0CXbpEBFxHMiGpb1i-d",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.104",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":2.4682661782918602,""x2"":1.3525518979320876,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 2.4682661782918602, ""x2"": 1.3525518979320876, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,0,"DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.104Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.00047969818115234375, ""request"": ""{\""x1\"": 2.4682661782918602, \""x2\"": 1.3525518979320876, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":2.4682661782918602,\""x2\"":1.3525518979320876,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","e0CXbpEBFxHMiGpb1i-a",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.102",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":0.7567308489589475,""x2"":3.0682358944516395,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 0.7567308489589475, ""x2"": 3.0682358944516395, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,0,"DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.102Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0004680156707763672, ""request"": ""{\""x1\"": 0.7567308489589475, \""x2\"": 3.0682358944516395, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":0.7567308489589475,\""x2\"":3.0682358944516395,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","j0CXbpEBFxHMiGpb1i-d",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.100",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":0.09349338105841387,""x2"":1.3464740437253528,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 0.09349338105841387, ""x2"": 1.3464740437253528, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,0,"DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.100Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.00047135353088378906, ""request"": ""{\""x1\"": 0.09349338105841387, \""x2\"": 1.3464740437253528, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":0.09349338105841387,\""x2\"":1.3464740437253528,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","Z0CXbpEBFxHMiGpb1i-W",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.099",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":1.9292171925926183,""x2"":1.3088624380828757,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 1.9292171925926183, ""x2"": 1.3088624380828757, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,0,"DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.099Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.00048613548278808594, ""request"": ""{\""x1\"": 1.9292171925926183, \""x2\"": 1.3088624380828757, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":1.9292171925926183,\""x2\"":1.3088624380828757,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","P0CXbpEBFxHMiGpb1i-W",".ds-logs-generic-default-2024.08.20-000001",0.025
